,Relation,Count,Example 1,Example 2,Example 3
68,has procedure site,75767.0,"Blood vessel, NOS -- has procedure site-> Ligation of major aortopulmonary collateral artery (procedure)",Prostatic structure (body structure) -- has procedure site-> Trucut biopsy of prostate,Arm between shoulder and elbow -- has procedure site-> Manipulation of elbow - non-surgical (regime/therapy)
69,has indirect procedure site,5348.0,Artery -- has indirect procedure site-> Repair of pseudoaneurysm by injection of thrombin,Eye -- has indirect procedure site-> Insertion of bilateral prosthetic intraocular lenses,Entire hip joint -- has indirect procedure site-> Primary hybrid total prosthetic replacement of hip joint using cemented femoral component (procedure)
70,has specimen source topography,2402.0,Brain -- has specimen source topography-> Tissue specimen from brain (specimen),Body tissue structure (body structure) -- has specimen source topography-> Extrahepatic bile duct cytologic material,Male genital structure -- has specimen source topography-> Male genital sample (specimen)
71,has part,52405.0,Entire brachioradialis muscle -- has part-> Entire skeletal muscle system,Thumbnail -- has part-> Entire thumb (body structure),Suprageniculate nucleus -- has part-> Dorsal thalamus
72,part of,52359.0,Entire fallopian tube -- part of-> Opening of Fallopian tube,Entire musculoskeletal system -- part of-> Entire puboprostatic ligament,Entire thoracic spine (body structure) -- part of-> T8/T9 ligamentum flavum
73,has entire anatomy structure,14604.0,Lacrimal duct -- has entire anatomy structure-> Lacrimal duct structure (body structure),Entire primary superior mesenteric artery branch -- has entire anatomy structure-> Primary superior mesenteric artery branch (body structure),Entire fifth anterior intercostal artery (body structure) -- has entire anatomy structure-> Fifth anterior intercostal artery (body structure)
75,temporal context of,10163.0,On examination - poor dental hygiene (finding) -- temporal context of-> Current (qualifier value),O/E - pinhole visual acuity right eye=6/18 (finding) -- temporal context of-> Current (qualifier value),Suspected food poisoning -- temporal context of-> Current or specified
78,associated finding of,8670.0,"Paratyphoid fever suspected -- associated finding of-> [X]Paratyphoid fever, unspecified",On examination - wrist joint abnormal (disorder) -- associated finding of-> Joint observation,On examination - no nystagmus (situation) -- associated finding of-> Finding of vision
79,has associated finding,8712.0,Finding reported by subject or history provider (finding) -- has associated finding-> Fetor ex ore,Personal history finding (finding) -- has associated finding-> History of angina pectoris,Finding reported by subject or history provider (finding) -- has associated finding-> Swelling of scrotum (finding)
80,associated morphology of,134899.0,"Traction alopecia -- associated morphology of-> Tissue damage, NOS",Sacralization of lumbar vertebra -- associated morphology of-> Congenital failure of segmentation,Acute sarcoid polymyositis -- associated morphology of-> Granulomatous inflammation
81,pathological process of,35412.0,"Viral pneumonia associated with acquired immunodeficiency syndrome -- pathological process of-> Communicable disease, NOS",AMELOONYCHOHYPOHIDROTIC SYNDROME -- pathological process of-> Pathological developmental process (qualifier value),"Abscess of bursa of shoulder (disorder) -- pathological process of-> Communicable disease, NOS"
82,has definitional manifestation,9675.0,Thrombocytopenia -- has definitional manifestation-> Other primary thrombocytopenia,[D]Convulsion NOS (situation) -- has definitional manifestation-> O/E - focal fit,Drug allergy -- has definitional manifestation-> Drug for the treatment of gout allergy (disorder)
83,is interpreted by,77715.0,Spondyloepiphyseal dysplasia Reardon type (disorder) -- is interpreted by-> Height and growth,Minimal shared activities -- is interpreted by-> Ability to interact with others (observable entity),Self-mutilation of penis (finding) -- is interpreted by-> Functional observable
84,due to,17976.0,"Traumatic event -- due to-> Closed traumatic dislocation elbow joint, medial (disorder)",Neoplastic growth -- due to-> Pathologic neoplastic fracture of clavicle,Intentional event (event) -- due to-> Intentional ampicillin overdose
85,has focus,6634.0,Glaucoma (disorder) -- has focus-> Insertion of Molteno tube into anterior chamber (procedure),[D]Gait abnormality (context-dependent category) -- has focus-> Full weight-bearing gait training,Infant care -- has focus-> Infant care education
86,has occurrence,18746.0,Apgar at 1 minute = 6 -- has occurrence-> Neonatal,Supernumerary lacrimal punctum (disorder) -- has occurrence-> Congenital (qualifier value),Torsion of accessory fallopian tube (disorder) -- has occurrence-> Congenital (qualifier value)
87,direct procedure site of,15508.0,Laser procedure on skin (procedure) -- direct procedure site of-> Skin,MRI of sacrococcygeal spine -- direct procedure site of-> Structure of coccygeal vertebral column region,"Upper thigh amputation (procedure) -- direct procedure site of-> Lower extremity, NOS"
89,procedure site of,75767.0,Partial excision of lacrimal gland -- procedure site of-> Lacrimal apparatus structure,Cardio-omentopexy (procedure) -- procedure site of-> Body wall structure,IVRSB - Intravenous regional sympathetic block -- procedure site of-> Periarterial sympathetic nerve
90,used by,5503.0,Primary open reduction of fracture of patella and fixation with tension band wiring -- used by-> Internal fixator,Ice cube treatment -- used by-> Cold,Angioplasty of popliteal artery (procedure) -- used by-> Angioplasty catheter (physical object)
92,approach of,1988.0,"Injection of vitreous substitute, pars plana approach -- approach of-> Pars plana approach (qualifier value)",Other specified diagnostic cystoscopy -- approach of-> Transurethral approach,Nephroscopic ureteric stent procedure (procedure) -- approach of-> Procedural approach
94,finding method of,9027.0,O/E - adenoid hypertrophy -- finding method of-> Examination - action,O/E - dorsalis pedis -L -- finding method of-> Examination - action,"Born in Zaire -- finding method of-> History taking, health"
100,has associated morphology,131887.0,Inflammatory morphology -- has associated morphology-> Seronegative rheumatoid arthritis of both wrists,Traumatic abnormality (morphologic abnormality) -- has associated morphology-> Foreign body in cervix (disorder),"Laceration, NOS -- has associated morphology-> Laceration of tendon of right biceps brachii"
